ANO;CODIGO_ORGAO_ENTIDADE;SIGLA_ORGAO_ENTIDADE;CNPJ_CPF_CONTRATADO;CONTRATADO;OBJETO;DATA_INICIO_VIGENCIA;DATA_FIM_VIGENCIA;VALOR;PROCESSO_SEI;PROCESSO_COMPRA;NUMERO_SIAFI;INTEGRA_CONTRATO;LINK_PORTAL
2020;1500;SEPLAG.;20.235.404/0001-71;DCB DISTRIBUIDORA CIRURGICA BRASILEIRA LTDA;Aquisição de Materiais Médico Hospitalares para atendimento a epidemia do COVID 19 no Estado de Minas Gerais.;20200324;20200923;27539247,17;1500.01.0014225/2020-94;1501561 000005/2020;9245572;https://www1.compras.mg.gov.br/contrato/gestaocontratos/arquivosContrato.html?idContrato=162367;
2020;1500;SEPLAG.;68.176.544/0001-42;KSN - PROTECAO RESPIRATORIA EIRELI;Aquisição de materiais médico hospitalares emergencial para atendimento a demanda do COVID-19, no Estado de Minas Gerais.;20200327;20200926;1497000;1500.01.0014240/2020-77;1501561 000006/2020;9245606;https://www1.compras.mg.gov.br/contrato/gestaocontratos/arquivosContrato.html?idContrato=162402;
2020;1250;PMMG;05.355.135/0001-93;OFFICER INDUSTRIA QUIMICA EIRELI - EPP;Álcool em Gel para segurança dos policiais militares.;20200326;20200925;421545,6;1250.01.0001752/2020-79;1259662 000008/2020;NA;NA;http://www.transparencia.mg.gov.br/compras-e-patrimonio/compras-e-contratos/comprasecontratos-procedimento/3/2020/01-01-2020/02-04-2020/1831094/0/0/10787/0/0/0/0/21584/85100242/170087/1669370/321001/1259662000008-2020
2020;1250;PMMG;26.286.203/0001-80;FRANKLIN EMBALAGENS LTDA;Frasco para acondicionamento de álcool em gel, com capacidade de 120 ml.;20200330;20200929;21600;1250.01.0001868/2020-51;1259662 000009/2020;NA;NA;http://www.transparencia.mg.gov.br/compras-e-patrimonio/compras-e-contratos/comprasecontratos-procedimento/3/2020/01-01-2020/02-04-2020/1831094/0/0/11427/0/0/0/0/15894/36500135/91264/1114174/321248/1259662000009-2020
2020;2120;IPSM;21.559.804/0001-03;GERBRA COMERCIO EIRELI - ME;Aquisição de 300 frasco de 1 litro de álcool etílico hidratado(álcool gel) e 100 frasco de 05 litros de higienizador antisséptico de mãos.;20200318;20200318;16650;2120.01.0002380/2020-39 ;2121022 000013/2020;NA;NA;http://www.transparencia.mg.gov.br/compras-e-patrimonio/compras-e-contratos/comprasecontratos-procedimento/3/2020/01-02-2020/02-04-2020/1831097/0/0/33700/0/0/0/0/21585/79300596/170097/1669486/320360/2121022000013-2020
2020;2120;IPSM;21.559.804/0001-03;GERBRA COMERCIO EIRELI - ME;Aquisição de 210 de frascos de plásticos para alocação de álcool etílico hidratado (álcool gel).;20200319;20200320;1050;2120.01.0002470/2020-34 ;2121022 000017/2020;NA;NA;http://www.transparencia.mg.gov.br/compras-e-patrimonio/compras-e-contratos/comprasecontratos-procedimento/3/2020/01-02-2020/02-04-2020/1831097/0/0/33700/0/0/0/0/11790/36500798/81234/513830/320558/2121022000017-2020
2020;2120;IPSM;21.559.804/0001-03;GERBRA COMERCIO EIRELI - ME;Aquisição de 40 galões de 05 litros de sabonete líquido.;20200326;20200320;1600;2120.01.0002637/2020-84;2121022 000020/2020;NA;NA;http://www.transparencia.mg.gov.br/compras-e-patrimonio/compras-e-contratos/comprasecontratos-procedimento/3/2020/01-02-2020/02-04-2020/1831097/0/0/33700/0/0/0/0/21741/85200085/175918/1692160/320977/2121022000020-2020
2020;1500;SEPLAG.;68.176.544/0001-42;KSN - PROTECAO RESPIRATORIA EIRELI;Mascaras N95 para atendimento a  demanda da Epidemias do COVID-19.;20200328;20200927;99800;1500.01.0014717/2020-02;1501561 000009/2020;9245644;https://www1.compras.mg.gov.br/contrato/gestaocontratos/arquivosContrato.html?idContrato=162422;
2020;1500;SEPLAG.;68.176.544/0001-42;KSN - PROTECAO RESPIRATORIA EIRELI;Aquisição de Mascaras N95 para atendimento a demanda de Pandemia do COIVD-19, no Estado de Minas Gerais.;20200328;20200927;648700;1500.01.0014880/2020-63;1501561 000010/2020;9245631;https://www1.compras.mg.gov.br/contrato/gestaocontratos/arquivosContrato.html?idContrato=162436;
2020;1500;SEPLAG.;84.951.649/0001-88;JMS INDUSTRIA E COMERCIO - EIRELI ;Aquisição de TNT, para confecção de máscaras, para atendimento a demanda de pandemia do COVID-19, no Estado de Minas Gerais.;20200331;;252500;1500.01.0015098/2020-94;1501561 000011/2020;NA;NA;http://www.transparencia.mg.gov.br/compras-e-patrimonio/compras-e-contratos/comprasecontratos-procedimento/3/2020/01-01-2020/14-04-2020/1831095/0/0/61932/0/0/0/0/15788/83050019/215076/1752731/321268/1501561000011-2020
2020;1500;SEPLAG.;84.951.649/0001-88;JMS INDUSTRIA E COMERCIO - EIRELI ;Aquisição de TNT (Tecido não tecido/texturizado), branco, para fabricação de máscaras cirúrgicas descartáveis.;20200331;;80800;1500.01.0016168/2020-13;1501561 000012/2020;NA;NA;http://www.transparencia.mg.gov.br/compras-e-patrimonio/compras-e-contratos/comprasecontratos-procedimento/3/2020/01-01-2020/14-04-2020/1831079/0/0/61932/0/0/0/0/15788/83050019/215076/1752731/321355/1501561000012-2020
